COLUMN_1,COLUMN_2,COLUMN_3,COLUMN_4
39,6.57,25,C
56,4.54,71,C
33,7.16,7,A
10,2.14,22,A
54,4.39,19,C
16,7.94,51,B
87,5.38,84,A
55,1.72,29,A
96,4.22,76,A
62,5.66,41,A
98,2.2,99,A
2,8.33,84,C
55,3.57,54,C
85,9.71,71,B
59,6.25,46,C
42,5.75,43,B
54,9.66,27,B
52,3.59,7,C
71,7.36,54,C
92,2.5,72,B
55,3.14,37,C
22,5.15,47,B
56,4.74,91,A
54,3.77,4,B
19,2.06,89,A
4,9.66,27,C
38,9.85,10,B
40,5.69,22,A
91,9.44,37,B
4,1.73,58,A
26,6.27,5,B
1,9.1,57,C
78,9.09,87,C
75,6.13,100,A
3,6.12,28,C
92,9.26,31,C
25,3.98,49,C
80,5.65,23,A
49,3.81,89,B
31,2.44,80,C
39,9.75,78,A
32,9.33,9,B
40,4.69,88,C
16,5.83,50,A
31,7.3,42,A
31,3.88,34,C
79,3.61,25,C
1,3.35,53,B
56,4.54,51,C
37,5.26,66,C
